id,saleprice
2658,124918.83791848236
2718,182097.72548960647
2414,186629.03534575412
1989,125034.20794074808
625,177904.69930685006
333,92872.90211610241
1327,116534.9355371219
858,145740.8643223694
95,158207.43227175425
1568,158917.1024119222
2482,169419.8774692075
1364,130866.72731059078
2584,152255.07752119403
818,250145.6809713782
2673,166649.68014379332
2089,144534.08915212395
1297,168828.52328213872
790,116378.23144281041
2616,188793.43224854968
720,191966.14676242528
222,142991.1192348164
557,119777.65763552689
1148,201223.79634213482
2766,135701.66853861767
534,204276.32375623233
1452,114483.05116654922
630,144455.5674802731
2648,130265.81981147965
125,148259.00827333666
1904,63100.97370062162
1670,105698.44589232345
756,98555.39351626298
717,209251.5818097892
1032,153150.87053917255
852,232806.43066441553
1731,170008.84585133463
2639,125184.9920941176
2071,81156.47789924752
1267,126417.9115695934
1851,197847.0891214367
567,147224.4928485185
2439,235116.2399265031
1898,155703.63641190357
647,154594.33032430333
2256,215546.00326148918
979,107687.48160659833
1444,203054.45510767004
2485,118415.13424720224
157,125742.5864940774
88,127136.54286365306
2003,107014.03988670203
186,188254.95816042024
1425,293025.6188572543
2695,120817.46646280285
738,121514.75209175571
395,152497.19020454332
1353,142181.6346888471
1878,147394.85514080324
390,169290.5267786852
1456,227123.47179983204
1103,282235.140115216
1387,117280.71977336793
2070,146363.47833728456
1199,167798.0119835517
2479,169443.76614438958
501,303470.65428636293
2362,92984.89291282029
1718,200478.55316862362
2188,90619.49210131526
1483,144180.43202307675
2557,90280.92253298017
437,323058.39034079167
2224,166497.02539955173
1628,185290.62558483527
397,131563.0964125738
587,202769.43234563517
971,154651.65557120115
2611,146546.93770217808
1887,100380.01348674725
2399,375726.3033773894
2148,231807.04080825546
304,124562.78056887747
1997,123513.00711753908
2817,122083.74384108797
1431,184812.82446758455
427,403343.2019002818
263,117892.5156945166
598,177822.77590532348
2895,221903.73260796207
687,145609.38268548905
1822,131813.889383634
2191,99399.65549650649
179,129672.57187942573
1009,203226.33008608772
2010,114385.23904924051
1991,152195.3596262189
1411,154370.17502328978
1721,264294.21208277706
1144,184722.57412043118
593,191652.6761360646
575,281180.86712289386
1249,184768.54492233213
1604,118740.71697045752
1064,423785.71070758585
1923,154600.34239414576
1988,104716.18392992535
2325,160818.44242587668
114,191309.25167485024
2700,164081.10719241636
217,125621.34418629517
343,184816.66082475043
386,228193.7327649527
2005,124487.92987361031
2908,134352.77284759932
1814,209344.28968275135
2446,384651.4382501491
208,167535.10513269829
1679,121431.66406504382
822,375710.98392617673
6,178486.1061409609
1781,416673.1640839458
2397,337823.24813584296
2340,299267.4900676072
1618,152069.03357522536
2843,120014.57883894311
1061,396778.72060965246
2786,117838.57960687147
1935,131668.2515395321
1341,116534.43873377764
521,321670.0773501907
2136,142883.02803399294
996,177857.41393058674
227,126544.71406053299
135,163069.02260489264
1167,152654.0393048732
294,190076.44144680514
1776,201576.60975370902
540,192518.0023785366
1717,200478.55316862362
2303,123165.61456072718
116,183478.32793551649
127,127930.88389881457
1371,125154.16125728254
1014,168898.18762590882
1507,101050.43732479544
702,142070.08279645097
750,141520.7779393509
261,141521.95770756694
1559,74474.52209666111
577,216587.1780988876
2812,195305.84503369592
2080,132747.5279192823
1368,128241.1527523239
2376,123658.42250363578
659,115401.56153259624
1235,117896.31403101225
332,82062.75211125825
1917,135192.3215679781
2094,240016.9493936165
1460,276822.32116343285
1471,218911.29745572002
1509,114867.01176906386
1922,128557.64270605388
433,431764.70393589255
460,303462.68393978244
1116,275541.8920901892
1137,175284.21900148253
53,192243.03065784165
2354,226892.32914103506
1475,202088.40974119154
1761,370747.1422121671
842,136971.12696233633
2739,157319.62744670353
2509,144887.60689776347
1007,199659.8501473663
2610,168578.7440005206
1952,92369.87071563244
2719,165444.3994552355
2921,96911.44862106061
1966,132179.33102357187
292,116168.86424729362
1204,202632.0031271117
1829,249613.90711949754
2419,196122.82762435044
391,183158.05328015433
798,114271.13696239797
481,203530.64790192212
193,202284.7397845494
555,116237.97001789961
899,69069.04156148921
2357,189174.83747290808
328,127174.98081512366
1356,129980.59867710798
1154,115684.35625199131
1730,190012.66732453345
2249,148539.04229165782
1119,294113.8111468611
2856,121624.17624563114
1394,130170.43535666962
2587,135679.06660157038
61,290770.2693461105
2661,171313.95937956843
2711,121244.548994309
1147,177041.16698219307
757,137852.7485077578
2623,84049.04603609626
